address,district,neighbourhood,property_type,price,listing_url
"6905 Heathwoods Avenue, London South, ON",London South,South V,Townhouse,594800,https://www.zolo.ca/london-south-real-estate/6905-heathwoods-avenue
"6893 Heathwoods Avenue, London South, ON",London South,South V,Townhouse,594800,https://www.zolo.ca/london-south-real-estate/6893-heathwoods-avenue
"6901 Heathwoods Avenue, London South, ON",London South,South V,Townhouse,594800,https://www.zolo.ca/london-south-real-estate/6901-heathwoods-avenue
"873 Southdale Road E, London South, ON",London South,South Y,Townhouse,334900,https://www.zolo.ca/london-south-real-estate/873-southdale-road-east
"27 Wharncliffe Road S, London South, ON",London South,South E,Townhouse,529900,https://www.zolo.ca/london-south-real-estate/27-wharncliffe-road-south
"100-690 Little Grey Street, London East, ON",London East,East L,Townhouse,310000,https://www.zolo.ca/london-east-real-estate/690-little-grey-street/100
"87-320 Ambleside Drive, London North, ON",London North,North A,Townhouse,569000,https://www.zolo.ca/london-north-real-estate/320-ambleside-drive/87
"52-530 Gatestone Road, London South, ON",London South,South U,Townhouse,525000,https://www.zolo.ca/london-south-real-estate/530-gatestone-road/52
"1564 Nairn Avenue, London East, ON",London East,East D,Townhouse,410000,https://www.zolo.ca/london-east-real-estate/1564-nairn-avenue
"315-1510 Richmond Street, London North, ON",London North,North G,Condo,399000,https://www.zolo.ca/london-north-real-estate/1510-richmond-street/315
"2701-505 Talbot Street, London East, ON",London East,East F,Condo,1100000,https://www.zolo.ca/london-east-real-estate/505-talbot-street/2701
"410-931 Wonderland Road S, London South, ON",London South,South M,Condo,265000,https://www.zolo.ca/london-south-real-estate/931-wonderland-road-south/410
"106-144 Conway Drive, London South, ON",London South,South X,Condo,279900,https://www.zolo.ca/london-south-real-estate/144-conway-drive/106
"1606-1235 Richmond Street, London East, ON",London East,East B,Condo,468900,https://www.zolo.ca/london-east-real-estate/1235-richmond-street/1606
"405-333 Commissioners Road W, London South, ON",London South,South D,Condo,274900,https://www.zolo.ca/london-south-real-estate/333-commissioners-road-west/405
"1009-573 Mornington Avenue, London East, ON",London East,East G,Condo,179900,https://www.zolo.ca/london-east-real-estate/573-mornington-avenue/1009
"111-731 Deveron Crescent, London South, ON",London South,South T,Condo,195000,https://www.zolo.ca/london-south-real-estate/731-deveron-crescent/111
"1105-155 Kent Street, London East, ON",London East,East F,Condo,294900,https://www.zolo.ca/london-east-real-estate/155-kent-street/1105
"501-353 Commissioners Road W, London South, ON",London South,South D,Condo,314999,https://www.zolo.ca/london-south-real-estate/353-commissioners-road-west/501
"211-460 Callaway Road, London North, ON",London North,North R,Condo,899000,https://www.zolo.ca/london-north-real-estate/460-callaway-road/211
"802-250 Pall Mall Street, London East, ON",London East,East F,Condo,430500,https://www.zolo.ca/london-east-real-estate/250-pall-mall-street/802
"903-549 Ridout Street N, London East, ON",London East,East F,Condo,354900,https://www.zolo.ca/london-east-real-estate/549-ridout-street-north/903
"6-675 Wonderland Road S, London South, ON",London South,South M,Condo,234900,https://www.zolo.ca/london-south-real-estate/675-wonderland-road-south/6
"102-735 Deveron Crescent, London South, ON",London South,South T,Condo,265000,https://www.zolo.ca/london-south-real-estate/735-deveron-crescent/102
"709-1255 Commissioners Road W, London South, ON",London South,South B,Condo,275000,https://www.zolo.ca/london-south-real-estate/1255-commissioners-road-west/709
"201-320 Sugarcreek Trail, London North, ON",London North,North N,Condo,445000,https://www.zolo.ca/london-north-real-estate/320-sugarcreek-trail/201
"1004-563 Mornington Avenue, London East, ON",London East,East G,Condo,159900,https://www.zolo.ca/london-east-real-estate/563-mornington-avenue/1004
"301-521 Riverside Drive W, London North, ON",London North,North P,Condo,349900,https://www.zolo.ca/london-north-real-estate/521-riverside-drive-west/301
"403-1705 Fiddlehead Place, London North, ON",London North,North R,Condo,775000,https://www.zolo.ca/london-north-real-estate/1705-fiddlehead-place/403
"9-505 Talbot Street, London East, ON",London East,,,659900,https://www.zolo.ca/london-east-real-estate/505-talbot-street/9
"610-583 Mornington Avenue, London East, ON",London East,East G,Condo,249000,https://www.zolo.ca/london-east-real-estate/583-mornington-avenue/610
"118-1200 Commissioners Road W, London South, ON",London South,South B,Condo,624900,https://www.zolo.ca/london-south-real-estate/1200-commissioners-road-west/118
"912-570 Proudfoot Lane, London North, ON",London North,North N,Condo,289900,https://www.zolo.ca/london-north-real-estate/570-proudfoot-lane/912
"603-260 Villagewalk Boulevard, London North, ON",London North,North R,Condo,729900,https://www.zolo.ca/london-north-real-estate/260-villagewalk-boulevard/603
"501-340 Sugarcreek Trail, London North, ON",London North,North N,Condo,465000,https://www.zolo.ca/london-north-real-estate/340-sugarcreek-trail/501
"1605-695 Richmond Street, London East, ON",London East,East F,Condo,355000,https://www.zolo.ca/london-east-real-estate/695-richmond-street/1605
"302-122 Wortley Road, London South, ON",London South,South F,Condo,989900,https://www.zolo.ca/london-south-real-estate/122-wortley-road/302
"508-563 Mornington Avenue, London East, ON",London East,East G,Condo,239900,https://www.zolo.ca/london-east-real-estate/563-mornington-avenue/508
"701-986 Huron Street, London East, ON",London East,East A,Condo,259000,https://www.zolo.ca/london-east-real-estate/986-huron-street/701
"52-136 Conway Drive, London South, ON",London South,South X,Condo,216500,https://www.zolo.ca/london-south-real-estate/136-conway-drive/52
"814-480 Callaway Road, London North, ON",London North,North R,Condo,799000,https://www.zolo.ca/london-north-real-estate/480-callaway-road/814
"904-1103 Jalna Boulevard, London South, ON",London South,South X,Condo,219900,https://www.zolo.ca/london-south-real-estate/1103-jalna-boulevard/904
